Lote,Plaga,Larvas,E. Plagas,X,Y,Z
B24a,Opsiphanes cassina,0,EP13B24a,-90.43286503,16.25080403,121.56636
B24a,Opsiphanes cassina,0,EP14B24a,-90.43202098,16.24854201,124.334854
B24a,Opsiphanes cassina,0,EP15B24a,-90.43206297,16.24936804,123.590256
B24a,Opsiphanes cassina,0,EP16B24a,-90.43203003,16.25032299,124.299362
B24a,Opsiphanes cassina,0,EP17B24a,-90.43119301,16.248959,125.901459
B24a,Opsiphanes cassina,0,EP18B24a,-90.43118304,16.24989803,124.416946
B24a,Opsiphanes cassina,0,EP19B24a,-90.43122101,16.25077503,125.199791
B25a,Opsiphanes cassina,0,EP1B25a,-90.43626297,16.24602702,102.055717
B25a,Opsiphanes cassina,0,EP2B25a,-90.436225,16.246974,104.219955
B25a,Opsiphanes cassina,0,EP3B25a,-90.43620598,16.24789299,105.315895
B25a,Opsiphanes cassina,1,EP4B25a,-90.43540701,16.24650604,118.303764
B25a,Opsiphanes cassina,0,EP5B25a,-90.43539997,16.24752302,117.781509
B25a,Opsiphanes cassina,0,EP6B25a,-90.43459103,16.24606096,119.145866
B25a,Opsiphanes cassina,0,EP7B25a,-90.43458198,16.24698398,120.728378
B25a,Opsiphanes cassina,0,EP8B25a,-90.43455801,16.24797204,119.191406
B25a,Opsiphanes cassina,0,EP9B25a,-90.43374597,16.24651803,123.938919
B25a,Opsiphanes cassina,0,EP10B25a,-90.43375402,16.24744398,122.499657
B25a,Opsiphanes cassina,0,EP11B25a,-90.43291097,16.24598301,124.778351
B25a,Opsiphanes cassina,0,EP12B25a,-90.432932,16.24697099,124.48822
B25a,Opsiphanes cassina,1,EP13B25a,-90.432931,16.24791102,124.272423
B25a,Opsiphanes cassina,0,EP14B25a,-90.43208803,16.24742797,123.749352
B25a,Opsiphanes cassina,0,EP15B25a,-90.43122101,16.24704299,129.980194
B25a,Opsiphanes cassina,0,EP16B25a,-90.43125202,16.24789702,127.959389
B26a,Opsiphanes cassina,0,EP1B26a,-90.437735,16.24519503,126.903572
B26a,Opsiphanes cassina,0,EP2B26a,-90.43779401,16.24427796,126.311356
B26a,Opsiphanes cassina,0,EP3B26a,-90.43696404,16.24470997,125.533928
B26a,Opsiphanes cassina,0,EP4B26a,-90.43689899,16.24379198,127.191826
B26a,Opsiphanes cassina,0,EP5B26a,-90.43689203,16.24290702,127.612434
B26a,Opsiphanes cassina,0,EP6B26a,-90.43606399,16.24338797,126.407722
B26a,Opsiphanes cassina,0,EP7B26a,-90.43604798,16.242473,126.791367
B26a,Opsiphanes cassina,0,EP8B26a,-90.43532998,16.24195098,126.855598
B26a,Opsiphanes cassina,0,EP9B26a,-90.43277099,16.24154001,127.734642
B26a,Opsiphanes cassina,2,EP10B26a,-90.43356501,16.24197696,128.236694
B26a,Opsiphanes cassina,0,EP11B26a,-90.43118999,16.24159802,127.690575
B26a,Opsiphanes cassina,0,EP12B26a,-90.43193397,16.24198501,127.482735
B26a,Opsiphanes cassina,0,EP13B26a,-90.432686,16.24239396,126.924568
B26a,Opsiphanes cassina,0,EP14B26a,-90.433463,16.24284801,127.307518
B26a,Opsiphanes cassina,0,EP15B26a,-90.43117097,16.24250703,127.670525
B26a,Opsiphanes cassina,0,EP16B26a,-90.43194604,16.24292403,127.692276
B26a,Opsiphanes cassina,0,EP17B26a,-90.43283402,16.243421,127.383171
